Position,Goals,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Appearances
Midfielder,9,0.0,6.0,3.0,0.0,0.0,105.0,32.0,2.0,6.0,0.0,0.0,45.0,0.0,33.0,44.0,17.0,6.0,0.0,293.0,419.0,293.0,122.0,29.0,42.0,0.0,1.0,7,2098,29.55,12.0,202.0,2.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,47,6.0,71
Midfielder,0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,39.0,32.0,7.0,0.0,155.0,115.0,110.0,14.0,23.0,29.0,0.0,1.0,0,782,26.97,0.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,26,0.0,29
Midfielder,3,0.0,0.0,3.0,0.0,1.0,30.0,10.0,1.0,1.0,0.0,0.0,16.0,0.0,13.0,9.0,27.0,10.0,0.0,73.0,54.0,50.0,4.0,14.0,9.0,0.0,0.0,5,665,23.75,8.0,124.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,15,4.0,28
Midfielder,6,0.0,5.0,1.0,0.0,0.0,52.0,17.0,2.0,3.0,0.0,0.0,40.0,0.0,22.0,27.0,14.0,9.0,0.0,80.0,134.0,175.0,30.0,32.0,48.0,0.0,0.0,1,388,11.09,0.0,73.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,39,6.0,35
Midfielder,4,0.0,4.0,0.0,1.0,0.0,52.0,20.0,2.0,7.0,0.0,0.0,20.0,0.0,11.0,13.0,12.0,6.0,0.0,75.0,97.0,151.0,29.0,31.0,57.0,0.0,0.0,4,479,14.09,4.0,107.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,20,12.0,34
Midfielder,0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,5.0,1.0,0.0,26.0,13.0,25.0,7.0,1.0,2.0,0.0,0.0,1,93,9.3,1.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0.0,10
Forward,5,0.0,5.0,0.0,0.0,0.0,35.0,18.0,1.0,5.0,0.0,0.0,15.0,0.0,8.0,4.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,367,17.48,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,43,14.0,21
Forward,0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,149,7.84,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12,3.0,19
Forward,2,0.0,0.0,2.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,136,13.6,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,5.0,10
Goalkeeper,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,3272,29.21,0.0,0.0,0.0,964.0,340.0,2.0,32.0,68.0,17.0,15.0,491.0,956.0,2,0,2,0.0,112
Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,12.0,0.0,2.0,23.0,16.0,8.0,0.0,41.0,57.0,51.0,17.0,5.0,10.0,0.0,0.0,2,243,22.09,4.0,27.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,16,0.0,11
Defender,6,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,162.0,151.0,4.0,16.0,173.0,547.0,304.0,4.0,725.0,560.0,362.0,15.0,345.0,192.0,4.0,2.0,5,5364,47.89,3.0,10.0,6.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,80,1.0,112
Defender,3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,47.0,33.0,0.0,3.0,48.0,112.0,55.0,0.0,184.0,179.0,108.0,14.0,114.0,68.0,1.0,1.0,1,2001,60.64,2.0,6.0,1.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,14,0.0,33
Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,89.0,0.0,5.0,40.0,86.0,49.0,1.0,169.0,212.0,109.0,22.0,75.0,38.0,0.0,0.0,1,1115,30.97,3.0,48.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,20,6.0,36
Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,60.0,73.0,0.0,5.0,51.0,203.0,129.0,1.0,175.0,270.0,191.0,19.0,165.0,68.0,0.0,0.0,0,1792,40.73,2.0,51.0,3.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,38,3.0,44
Midfielder,1,0.0,0.0,1.0,0.0,0.0,49.0,5.0,1.0,0.0,0.0,0.0,261.0,0.0,16.0,167.0,152.0,90.0,0.0,724.0,402.0,445.0,35.0,73.0,75.0,0.0,0.0,5,4785,48.33,4.0,6.0,7.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,136,0.0,99
